time,pwm1,pwm2,pwm3,pwm4,depth,press,voltage,roll,pitch,yaw,a_x,a_y,a_z,w_row,w_pitch,w_yaw
202252,1100,1100,1100,1100,0.02,613,11.64,4.48,1.99,-68.5,-0.34,0.64,8.71,-0.2,-0.4,-0.2
202252,1100,1100,1100,1100,0.03,614,11.64,4.47,1.98,-68.5,-0.39,0.67,8.64,-0.4,-0.4,-0.1
202252,1100,1100,1100,1100,0.0,611,11.62,4.44,1.93,-68.52,0.2,0.5,8.33,-0.9,-1.8,-0.8
202252,1196,1196,1196,1196,0.05,616,11.6,4.48,1.7,-68.63,1.47,1.62,5.6,-3.1,-4.4,-3.2
202252,1196,1196,1196,1196,0.0,611,11.56,4.34,1.25,-68.9,4.35,-3.09,7.64,-7.3,-0.9,-7.0
202252,1196,1196,1196,1196,0.05,616,11.53,3.58,1.17,-69.39,-1.14,0.16,5.35,-16.3,-10.0,-11.7
202252,1196,1196,1196,1196,0.01,612,11.52,2.58,1.19,-70.01,1.0,-1.42,-4.14,-16.4,5.0,-12.4
202252,1196,1196,1196,1196,0.06,617,11.51,2.51,0.46,-70.6,-4.56,1.67,13.59,-2.1,-13.0,-11.9
202252,1196,1196,1196,1196,0.08,619,11.54,2.33,-0.32,-71.13,6.8,-1.65,5.79,2.8,-19.5,-8.2
202252,1196,1196,1196,1196,0.09,621,11.51,2.69,-1.35,-71.6,1.07,-0.1,7.83,6.7,-17.2,-6.9
202252,1196,1196,1196,1196,0.07,618,11.52,2.63,-2.44,-72.04,-7.54,4.13,13.49,5.7,-20.1,-7.5
202252,1196,1196,1196,1196,0.08,619,11.51,3.1,-3.13,-72.45,2.78,-0.07,-0.8,7.5,-22.6,-6.7
202252,1196,1196,1196,1196,0.09,621,11.52,3.53,-3.93,-72.8,-8.83,-4.13,14.51,9.2,-22.7,-4.8
202252,1196,1196,1196,1196,0.11,623,11.51,4.36,-4.36,-73.18,8.42,-0.08,4.89,9.5,2.6,-5.4
202252,1196,1196,1196,1196,0.12,624,11.51,5.39,-5.07,-73.56,4.75,-3.06,11.3,10.5,-12.3,-7.1
202252,1196,1196,1196,1196,0.09,621,11.52,5.78,-5.55,-74.06,-1.13,-5.56,10.75,8.3,-9.2,-10.6
202252,1196,1196,1196,1196,0.14,626,11.51,5.39,-5.89,-74.49,2.29,-3.6,2.09,7.0,-17.5,-9.4
202252,1196,1196,1196,1196,0.15,627,11.51,5.73,-6.38,-75.05,1.97,-2.88,10.54,4.5,-13.0,-12.4
202252,1196,1196,1196,1196,0.13,625,11.52,5.58,-6.86,-75.66,-0.44,6.5,14.49,2.6,-13.5,-13.0
202253,1196,1196,1196,1196,0.16,628,11.52,5.95,-7.5,-76.38,-6.73,5.13,19.5,3.8,-34.2,-14.4
202253,1196,1196,1196,1196,0.14,626,11.51,5.91,-7.57,-77.15,12.33,-3.14,2.84,3.1,19.9,-15.9
202253,1196,1196,1196,1196,0.14,626,11.51,6.38,-7.35,-77.98,8.32,0.64,3.52,3.0,-12.9,-16.0
202253,1196,1196,1196,1196,0.17,629,11.51,6.56,-7.64,-78.84,-6.25,-2.0,14.2,1.3,-0.4,-17.1
202253,1196,1196,1196,1196,0.16,628,11.5,6.14,-7.32,-79.68,8.35,-0.22,1.63,1.3,15.7,-19.7
202253,1196,1196,1196,1196,0.18,630,11.51,6.84,-6.94,-80.75,3.49,8.92,6.28,-0.7,-1.8,-20.9
202253,1196,1196,1196,1196,0.2,632,11.53,7.98,-6.7,-81.87,-5.02,-1.5,10.65,0.4,-6.8,-19.8
202253,1196,1196,1196,1196,0.22,634,11.5,7.84,-6.43,-82.79,8.18,1.59,9.81,-0.1,-12.5,-20.9
202253,1196,1196,1196,1196,0.18,630,11.53,8.53,-6.09,-83.82,8.52,-3.22,5.22,1.0,21.4,-20.2
202253,1196,1196,1196,1196,0.21,633,11.5,7.95,-5.69,-84.76,2.81,-2.49,4.24,2.2,11.0,-19.2
202253,1196,1196,1196,1196,0.19,631,11.52,8.32,-5.39,-85.76,-6.91,1.37,17.77,3.5,-9.5,-21.4
202253,1196,1196,1196,1196,0.18,630,11.51,8.8,-5.13,-86.88,-0.4,1.41,-2.25,4.5,-25.5,-22.6
202253,1196,1196,1196,1196,0.2,632,11.52,9.6,-4.89,-88.03,-3.69,3.47,9.32,4.6,-0.6,-22.7
202253,1196,1196,1196,1196,0.19,631,11.51,10.23,-4.42,-89.21,3.89,0.33,1.82,3.5,43.0,-24.0
202253,1196,1196,1196,1196,0.22,634,11.51,10.31,-4.24,-90.46,0.26,0.83,12.59,3.4,14.1,-26.7
202253,1196,1196,1196,1196,0.19,631,11.51,10.55,-3.8,-91.8,3.84,5.77,4.41,3.1,1.0,-26.4
202253,1196,1196,1196,1196,0.22,634,11.52,11.42,-3.39,-93.22,11.95,7.16,8.19,1.5,13.4,-28.2
202253,1196,1196,1196,1196,0.2,632,11.51,11.63,-3.46,-94.64,-3.83,-1.85,14.81,1.4,-4.2,-30.2
202253,1196,1196,1196,1196,0.2,632,11.5,11.6,-3.28,-96.03,5.25,3.2,5.98,2.7,5.3,-27.8
202253,1196,1196,1196,1196,0.2,632,11.52,12.03,-3.48,-97.44,-7.88,0.41,19.6,3.1,1.0,-29.6
202254,1196,1196,1196,1196,0.21,633,11.5,12.62,-3.22,-98.86,1.37,8.6,6.97,2.9,5.7,-28.8
202254,1196,1196,1196,1196,0.23,635,11.52,13.17,-2.98,-100.28,4.45,0.69,6.47,5.7,10.4,-29.0
202254,1196,1196,1196,1196,0.24,636,11.5,12.82,-2.53,-101.68,7.85,-1.47,4.57,2.3,21.2,-30.1
202254,1196,1196,1196,1196,0.21,633,11.52,13.4,-2.14,-103.15,2.94,5.84,4.79,0.7,0.7,-31.2
202254,1196,1196,1196,1196,0.19,631,11.52,13.37,-2.03,-104.71,-5.25,1.78,7.2,-1.3,-1.6,-31.2
202254,1196,1196,1196,1196,0.23,635,11.53,13.78,-1.89,-106.19,-4.52,-0.52,15.9,-2.4,-4.6,-30.0
202254,1196,1196,1196,1196,0.22,634,11.51,13.11,-1.59,-107.71,-3.66,3.73,12.46,-1.6,20.9,-31.6
202254,1196,1196,1196,1196,0.25,637,11.53,13.15,-1.36,-109.36,9.38,4.77,4.26,0.9,4.0,-33.9
202254,1196,1196,1196,1196,0.22,634,11.5,13.65,-1.16,-111.08,4.78,2.47,7.62,2.9,-11.7,-33.3
202254,1196,1196,1196,1196,0.22,634,11.5,13.79,-1.16,-112.72,2.28,5.31,7.81,3.4,-4.0,-33.4
202254,1196,1196,1196,1196,0.21,633,11.52,13.39,-0.9,-114.43,3.45,2.45,9.16,0.8,-1.2,-35.3
202254,1196,1196,1196,1196,0.25,637,11.52,13.27,-0.8,-116.13,4.85,-2.32,6.18,-2.0,0.1,-35.0
202254,1196,1196,1196,1196,0.22,634,11.51,12.7,-0.35,-117.87,6.5,-1.64,4.99,2.3,-4.8,-36.1
202254,1196,1196,1196,1196,0.26,639,11.51,12.42,0.14,-119.63,1.68,7.11,8.76,-1.3,-8.9,-35.5
202254,1196,1196,1196,1196,0.25,638,11.51,12.43,0.33,-121.39,-6.83,-2.77,19.19,0.2,-12.3,-37.6
202254,1196,1196,1196,1196,0.25,637,11.51,11.79,0.44,-123.17,5.5,-2.63,8.86,1.6,11.5,-35.6
202254,1196,1196,1196,1196,0.27,640,11.51,11.52,0.6,-124.91,11.19,0.03,1.21,-1.2,18.0,-35.3
202254,1196,1196,1196,1196,0.25,638,11.51,10.73,0.89,-126.7,1.01,-2.28,6.76,-2.1,1.3,-36.6
202254,1196,1196,1196,1196,0.27,640,11.52,10.38,1.13,-128.46,1.51,2.11,8.66,-2.3,0.7,-35.4
202254,1196,1196,1196,1196,0.27,640,11.5,9.97,1.26,-130.12,-7.93,-2.67,10.81,-1.3,-23.8,-33.2
202255,1196,1196,1196,1196,0.28,641,11.51,9.78,1.56,-131.76,-14.09,-1.81,18.53,-2.9,-0.1,-32.9
202255,1196,1196,1196,1196,0.25,638,11.5,9.46,2.02,-133.35,3.33,6.71,3.73,-5.2,10.6,-32.5
202255,1196,1196,1196,1196,0.26,639,11.51,9.75,2.24,-134.93,5.18,6.31,2.8,-3.1,-5.7,-31.7
202255,1196,1196,1196,1196,0.25,638,11.51,9.53,2.37,-136.49,4.15,-3.86,5.91,-4.3,-31.1,-32.2
