time,pwm1,pwm2,pwm3,pwm4,depth,press,voltage,roll,pitch,yaw,a_x,a_y,a_z,w_row,w_pitch,w_yaw
202409,1100,1100,1100,1100,-0.02,592,12.08,5.97,-0.06,37.16,-0.02,0.9,8.76,1.6,-2.1,0.3
202409,1100,1100,1100,1100,-0.01,593,12.08,6.05,-0.19,37.16,0.13,0.95,8.56,1.5,-3.0,0.4
202409,1100,1100,1100,1100,0.0,594,12.06,6.12,-0.34,37.17,0.07,0.88,8.64,1.3,-3.4,0.2
202409,1183,1183,1183,1183,0.01,595,12.05,6.18,-0.51,37.17,0.09,0.96,8.8,0.6,-3.3,0.3
202409,1183,1183,1183,1183,0.01,595,11.97,6.21,-0.66,37.17,0.07,1.0,8.61,0.2,-2.7,0.1
202409,1183,1183,1183,1183,0.01,595,11.96,6.2,-0.78,37.16,0.11,0.95,8.62,-0.5,-1.8,0.0
202409,1183,1183,1183,1183,0.02,596,11.95,6.16,-0.85,37.16,0.18,0.92,8.77,-1.3,-0.9,0.0
202409,1183,1183,1183,1183,0.05,599,11.95,6.04,-0.82,37.16,-0.43,1.0,9.04,-4.6,4.3,-0.5
202409,1183,1183,1183,1183,0.02,596,11.96,5.77,-0.28,37.18,-1.19,-0.62,5.82,-10.3,4.8,-0.4
202409,1183,1183,1183,1183,0.05,599,11.97,5.13,0.32,37.19,-5.87,3.64,10.73,-18.6,24.0,-1.7
202409,1183,1183,1183,1183,0.11,606,11.96,4.36,1.61,37.17,-16.66,0.03,19.07,-20.9,-9.2,-0.6
202409,1183,1183,1183,1183,0.07,601,11.95,3.55,2.3,37.11,-2.6,2.36,7.88,-10.0,-0.5,-2.1
202409,1183,1183,1183,1183,0.09,604,11.94,3.09,1.93,36.88,-1.24,0.41,11.12,-5.7,-0.7,-3.5
202409,1183,1183,1183,1183,0.08,602,11.94,2.77,1.75,36.64,9.52,-6.2,8.86,-6.1,1.3,-5.1
202409,1183,1183,1183,1183,0.1,605,11.95,2.24,1.2,36.41,9.63,-1.69,6.49,-5.0,9.1,-4.0
202410,1183,1183,1183,1183,0.08,603,11.95,2.03,0.61,36.19,-14.68,2.23,19.6,-2.7,-14.9,-5.8
202410,1183,1183,1183,1183,0.15,610,11.95,2.01,0.39,35.85,3.67,0.01,7.03,-0.8,1.5,-8.1
202410,1183,1183,1183,1183,0.09,604,11.96,2.15,0.59,35.52,2.14,5.0,3.35,0.5,-6.3,-8.4
202410,1183,1183,1183,1183,0.13,608,11.96,2.3,0.48,35.05,7.47,6.12,-0.49,2.4,-2.4,-10.6
202410,1183,1183,1183,1183,0.14,609,11.97,2.34,0.13,34.6,10.51,-1.03,-1.11,1.2,-0.4,-10.1
202410,1183,1183,1183,1183,0.14,609,11.94,2.23,-0.19,34.1,-9.45,1.05,11.83,2.1,-9.3,-9.3
202410,1183,1183,1183,1183,0.16,611,11.94,2.4,-0.33,33.62,-13.33,1.01,18.26,1.8,-2.7,-9.4
202410,1183,1183,1183,1183,0.14,609,11.95,2.38,-0.42,33.14,10.85,-1.61,3.67,2.0,-11.6,-10.5
202410,1183,1183,1183,1183,0.2,615,11.96,2.39,-0.92,32.57,5.08,-2.43,7.48,2.1,15.1,-12.8
202410,1183,1183,1183,1183,0.15,610,11.97,2.95,-0.96,31.92,10.57,-3.68,5.86,3.1,26.5,-14.8
202410,1183,1183,1183,1183,0.19,614,11.96,3.04,-1.14,31.2,9.99,3.71,0.84,1.6,-1.7,-15.2
202410,1183,1183,1183,1183,0.21,616,11.96,2.69,-1.51,30.45,-1.99,0.01,7.71,1.8,-7.0,-13.7
202410,1183,1183,1183,1183,0.21,616,11.95,2.92,-1.51,29.68,0.18,1.14,8.33,-0.1,8.1,-16.1
202410,1183,1183,1183,1183,0.19,614,11.96,2.94,-1.75,28.87,-9.64,2.4,19.6,1.1,-10.4,-15.1
202410,1183,1183,1183,1183,0.22,617,11.95,2.83,-1.93,27.97,-11.45,-0.38,10.06,1.0,5.5,-19.5
202410,1183,1183,1183,1183,0.23,618,11.95,2.82,-1.68,27.05,-3.31,-0.42,13.17,1.5,-9.5,-17.3
202410,1183,1183,1183,1183,0.25,620,11.95,3.34,-1.2,26.1,-2.78,3.16,9.01,3.2,-2.3,-19.4
202410,1183,1183,1183,1183,0.24,619,11.95,3.6,-1.5,25.06,-3.61,-2.3,6.41,3.3,5.7,-21.9
202410,1183,1183,1183,1183,0.24,619,11.96,3.62,-1.53,23.95,-9.24,4.11,8.94,3.8,1.8,-23.4
202410,1183,1183,1183,1183,0.25,620,11.96,3.64,-1.39,22.76,-10.0,-0.29,14.03,1.0,-11.3,-23.6
202411,1183,1183,1183,1183,0.29,625,11.96,3.65,-1.33,21.5,10.82,1.69,5.52,1.5,1.5,-25.1
202411,1183,1183,1183,1183,0.25,621,11.96,3.8,-1.4,20.29,11.25,3.69,5.48,0.7,-7.7,-23.6
202411,1183,1183,1183,1183,0.26,622,11.96,3.85,-1.78,19.14,5.24,2.4,1.98,5.1,12.2,-24.0
202411,1183,1183,1183,1183,0.25,621,11.96,3.91,-1.66,18.0,5.54,0.44,1.01,3.8,3.1,-21.5
202411,1183,1183,1183,1183,0.27,623,11.95,3.94,-1.84,16.9,-4.04,0.3,9.22,6.8,10.2,-22.1
202411,1183,1183,1183,1183,0.29,625,11.96,4.35,-2.01,15.8,-9.38,-3.18,14.94,6.7,-3.1,-20.5
202411,1183,1183,1183,1183,0.25,621,11.95,4.24,-1.94,14.74,8.38,-0.34,12.67,4.6,8.6,-21.1
202411,1183,1183,1183,1183,0.33,629,11.95,4.55,-1.76,13.64,4.73,-2.54,9.75,5.4,3.8,-20.5
202411,1183,1183,1183,1183,0.29,625,11.95,4.78,-1.97,12.5,-13.48,1.73,19.6,7.6,-17.5,-22.0
202411,1183,1183,1183,1183,0.3,626,11.94,5.09,-1.49,11.32,5.57,3.18,4.87,3.7,10.5,-23.6
202411,1183,1183,1183,1183,0.32,628,11.94,5.45,-1.2,10.1,-3.03,2.83,8.46,6.1,7.6,-22.6
202411,1183,1183,1183,1183,0.31,627,11.95,5.82,-1.13,8.93,-6.86,3.13,16.89,4.9,-9.3,-24.0
202411,1183,1183,1183,1183,0.32,628,11.95,6.64,-0.77,7.68,-12.69,1.24,18.55,5.1,-10.9,-23.5
202411,1183,1183,1183,1183,0.28,624,11.95,7.15,-0.58,6.38,14.16,-1.15,2.4,5.1,1.2,-26.3
202411,1183,1183,1183,1183,0.31,627,11.96,7.47,-0.41,5.02,-8.47,1.76,15.12,4.0,-12.5,-25.5
202411,1183,1183,1183,1183,0.32,628,11.95,7.9,-0.31,3.7,-7.67,1.87,19.6,7.0,5.9,-26.7
202411,1183,1183,1183,1183,0.33,629,11.95,8.28,0.37,2.39,7.92,5.33,5.74,6.2,4.0,-25.2
202411,1183,1183,1183,1183,0.33,629,11.95,8.68,0.54,1.05,0.75,1.76,11.92,5.1,7.3,-27.6
202411,1183,1183,1183,1183,0.36,632,11.94,8.58,0.72,-0.38,-2.26,5.21,9.82,3.5,-10.1,-27.0
202411,1183,1183,1183,1183,0.34,630,11.94,8.58,0.84,-1.83,7.18,4.16,3.05,2.6,2.1,-29.5
202412,1183,1183,1183,1183,0.33,629,11.95,8.58,1.09,-3.34,7.03,3.02,1.8,2.1,9.2,-31.6
202412,1183,1183,1183,1183,0.35,631,11.95,8.56,1.24,-5.01,-19.6,1.51,18.92,4.6,-1.5,-35.7
202412,1183,1183,1183,1183,0.32,628,11.94,8.81,1.87,-6.76,8.11,-2.86,5.78,2.9,4.3,-34.4
202412,1183,1183,1183,1183,0.3,626,11.93,8.25,1.76,-8.56,16.04,3.59,-0.81,1.2,0.6,-36.9
202412,1183,1183,1183,1183,0.35,631,11.94,8.25,1.46,-10.44,0.82,2.82,9.53,-0.9,1.8,-36.8
202412,1183,1183,1183,1183,0.36,632,11.95,7.84,1.01,-12.34,-19.6,1.08,19.6,-2.5,-23.9,-37.2
202412,1183,1183,1183,1183,0.38,634,11.95,7.72,1.46,-14.27,2.52,-3.04,14.87,-2.7,-1.4,-37.9
202412,1183,1183,1183,1183,0.36,632,11.95,7.18,1.08,-16.04,7.16,-0.25,-4.54,-4.2,22.5,-33.4
202412,1183,1183,1183,1183,0.4,636,11.95,6.92,0.72,-17.82,-17.5,2.55,19.6,-4.4,-13.5,-35.3
202412,1183,1183,1183,1183,0.37,633,11.96,6.44,0.4,-19.61,-17.95,0.89,19.6,-5.1,-21.9,-35.5
202412,1183,1183,1183,1183,0.37,633,11.95,6.01,0.44,-21.45,14.91,3.89,0.45,-2.5,15.0,-35.6
202412,1183,1183,1183,1183,0.37,633,11.95,6.28,0.36,-23.18,-2.57,-2.09,13.79,-0.7,-0.5,-33.1
202412,1183,1183,1183,1183,0.37,633,11.94,6.16,0.36,-24.76,-3.37,0.4,4.04,0.7,3.4,-31.2
202412,1183,1183,1183,1183,0.38,634,11.95,5.88,0.57,-26.31,-0.66,1.28,6.24,-1.5,-3.2,-32.1
202412,1183,1183,1183,1183,0.38,634,11.95,5.71,0.38,-27.91,0.42,3.71,-1.21,-1.0,2.7,-32.5
202412,1183,1183,1183,1183,0.38,634,11.96,5.72,0.65,-29.54,-0.62,1.18,7.8,-0.7,9.3,-33.9
202412,1183,1183,1183,1183,0.4,636,11.95,6.0,1.07,-31.21,18.41,-0.61,-2.18,-1.6,23.8,-34.4
202412,1183,1183,1183,1183,0.39,635,11.94,6.13,1.44,-32.83,9.24,-2.2,3.82,-0.9,11.5,-34.9
202412,1183,1183,1183,1183,0.37,633,11.95,6.26,1.98,-34.5,4.6,3.99,1.51,-1.9,9.0,-35.6
202412,1183,1183,1183,1183,0.41,637,11.95,5.99,2.44,-36.14,0.82,1.26,2.66,-3.4,-0.7,-33.4
202413,1183,1183,1183,1183,0.39,635,11.94,5.12,2.2,-37.69,-9.58,-0.21,15.5,-2.0,-8.5,-29.3
202413,1183,1183,1183,1183,0.39,635,11.96,4.84,2.56,-39.14,9.74,1.42,-8.09,-0.2,22.9,-30.7
202413,1183,1183,1183,1183,0.4,636,11.93,4.9,3.05,-40.5,-0.8,-0.01,7.99,-0.1,3.5,-27.5
202413,1183,1183,1183,1183,0.4,636,11.93,4.68,3.44,-41.89,-12.95,-3.31,19.45,0.3,-6.3,-28.6
202413,1183,1183,1183,1183,0.45,642,11.96,4.19,3.95,-43.26,1.63,-2.02,8.4,0.2,-10.3,-27.2
202413,1183,1183,1183,1183,0.4,636,11.95,3.43,3.49,-44.58,9.94,0.18,6.62,-1.6,15.8,-27.6
202413,1183,1183,1183,1183,0.43,640,11.94,3.38,3.09,-45.91,-11.97,-4.01,19.6,-0.2,-12.8,-27.5
202413,1183,1183,1183,1183,0.42,638,11.95,3.13,2.99,-47.3,-19.6,-5.47,18.69,1.4,-13.0,-29.1
202413,1183,1183,1183,1183,0.39,635,11.94,3.12,3.45,-48.7,-1.23,2.08,18.23,1.6,-9.6,-27.2
202413,1183,1183,1183,1183,0.42,639,11.94,2.93,3.44,-50.03,-8.95,0.59,12.44,0.8,5.6,-28.0
202413,1183,1183,1183,1183,0.42,639,11.94,2.88,3.1,-51.37,-15.3,-4.42,19.6,2.7,-10.7,-28.4
202413,1183,1183,1183,1183,0.44,641,11.95,2.82,2.96,-52.73,-19.6,9.03,14.59,3.2,-22.8,-27.2
202413,1183,1183,1183,1183,0.43,640,11.93,2.8,3.09,-54.1,9.52,3.17,2.03,1.4,13.2,-28.0
202413,1183,1183,1183,1183,0.45,642,11.94,3.01,3.04,-55.39,-2.66,-2.33,10.08,1.3,12.1,-26.3
202413,1183,1183,1183,1183,0.44,641,11.94,3.01,2.84,-56.72,1.44,4.98,4.85,3.1,-4.8,-28.1
202413,1183,1183,1183,1183,0.48,645,11.93,2.87,2.66,-58.09,-1.2,1.3,3.26,2.5,-4.2,-28.6
202413,1183,1183,1183,1183,0.44,641,11.95,3.03,2.77,-59.46,4.62,2.83,3.96,2.0,5.9,-28.8
202413,1183,1183,1183,1183,0.47,644,11.96,2.76,2.12,-60.81,-5.43,-3.75,19.27,3.5,-5.6,-26.1
202413,1183,1183,1183,1183,0.45,642,11.96,2.55,2.05,-62.23,-9.25,-0.28,14.25,3.6,-23.1,-27.8
202413,1183,1183,1183,1183,0.47,644,11.95,2.52,1.99,-63.53,3.9,-0.67,11.74,2.6,12.5,-26.9
202414,1183,1183,1183,1183,0.43,640,11.93,2.8,1.96,-64.81,1.42,4.02,9.02,2.7,1.9,-25.8
202414,1183,1183,1183,1183,0.46,643,11.93,2.95,1.99,-66.03,-8.1,-5.44,17.25,4.9,0.1,-25.4
202414,1183,1183,1183,1183,0.47,644,11.95,2.81,1.83,-67.28,-10.56,-2.45,18.77,4.5,-9.9,-26.5
202414,1183,1183,1183,1183,0.45,642,11.95,2.71,2.12,-68.56,7.44,0.67,4.05,3.1,6.8,-25.6
202414,1183,1183,1183,1183,0.43,640,11.94,2.5,1.89,-69.91,-7.05,0.59,11.19,1.6,3.8,-28.5
202414,1183,1183,1183,1183,0.49,646,11.95,2.96,2.09,-71.17,-13.45,1.13,19.6,4.5,-7.6,-26.9
202414,1183,1183,1183,1183,0.45,642,11.95,3.01,2.42,-72.43,15.66,-3.26,6.72,2.4,13.5,-26.6
202414,1183,1183,1183,1183,0.51,648,11.95,2.68,2.19,-73.74,-1.35,-4.54,6.38,4.4,10.7,-26.8
202414,1183,1183,1183,1183,0.49,646,11.95,2.65,2.59,-75.02,5.1,2.8,12.35,3.3,0.1,-25.1
202414,1183,1183,1183,1183,0.47,644,11.94,2.91,2.74,-76.3,-6.9,4.15,4.89,1.0,-9.8,-25.8
202414,1183,1183,1183,1183,0.48,645,11.94,2.9,2.76,-77.57,15.92,0.77,-8.43,1.2,16.3,-23.7
202414,1183,1183,1183,1183,0.48,645,11.94,2.9,2.46,-78.75,-0.29,0.06,8.81,0.9,0.7,-23.6
202414,1183,1183,1183,1183,0.51,648,11.95,2.97,2.52,-79.97,-3.22,2.23,6.02,0.7,-4.9,-23.4
202414,1183,1183,1183,1183,0.54,651,11.95,2.79,2.35,-81.17,-2.42,0.17,8.51,2.0,0.0,-22.6
202414,1183,1183,1183,1183,0.54,651,11.95,2.86,2.29,-82.38,-7.38,0.12,11.7,-0.1,1.2,-24.5
202414,1183,1183,1183,1183,0.49,646,11.95,3.23,2.17,-83.64,-10.45,-1.35,17.39,0.7,-11.4,-26.4
202414,1183,1183,1183,1183,0.52,649,11.94,2.93,2.42,-84.96,13.14,1.46,5.35,0.5,4.6,-25.9
202414,1183,1183,1183,1183,0.53,650,11.94,2.76,2.09,-86.28,0.0,4.61,19.6,3.2,-2.8,-26.8
202414,1183,1183,1183,1183,0.52,649,11.95,3.08,2.51,-87.7,8.97,3.18,3.64,2.3,5.7,-30.2
202414,1183,1183,1183,1183,0.54,651,11.94,3.27,2.5,-89.2,3.11,-3.36,12.71,5.2,-3.4,-30.3
202415,1183,1183,1183,1183,0.52,649,11.94,4.0,3.21,-100.64,2.89,-1.18,15.37,1.5,1.0,-33.0
202415,1183,1183,1183,1183,0.53,650,11.93,4.09,3.37,-102.19,12.06,-3.44,3.49,1.8,3.5,-29.1
202415,1183,1183,1183,1183,0.52,649,11.93,3.93,3.02,-103.63,-2.21,-0.1,18.51,1.8,-4.0,-28.7
202415,1183,1183,1183,1183,0.54,651,11.94,4.04,2.93,-104.96,2.9,-1.53,13.04,0.7,1.9,-25.9
202415,1183,1183,1183,1183,0.56,653,11.94,4.06,2.92,-106.32,-15.24,5.38,10.25,1.8,-14.8,-28.1
202415,1183,1183,1183,1183,0.56,653,11.94,4.17,2.96,-107.64,-3.18,-0.56,9.52,2.6,-2.6,-27.0
202415,1183,1183,1183,1183,0.54,651,11.93,4.24,3.44,-108.92,12.68,0.75,1.6,-0.4,10.4,-24.8
202415,1183,1183,1183,1183,0.54,651,11.94,4.16,3.53,-110.18,9.87,0.21,0.8,-1.3,7.7,-25.8
202415,1183,1183,1183,1183,0.51,648,11.94,4.15,3.55,-111.33,5.77,0.44,4.36,-1.2,4.2,-23.1
202415,1183,1183,1183,1183,0.58,655,11.93,4.08,3.66,-112.54,-14.13,5.07,11.87,0.3,-11.7,-22.8
202415,1183,1183,1183,1183,0.55,652,11.93,4.09,4.19,-113.71,8.56,0.03,9.15,2.1,7.0,-21.7
202415,1183,1183,1183,1183,0.56,653,11.95,4.29,3.94,-114.94,-13.06,-2.07,11.39,1.0,0.2,-24.7
202415,1183,1183,1183,1183,0.57,654,11.94,4.17,3.73,-116.13,-4.15,-1.59,12.2,2.1,-4.2,-21.3
202415,1183,1183,1183,1183,0.58,656,11.94,4.08,3.59,-117.25,-3.78,-2.04,8.33,2.3,5.5,-22.5
202415,1183,1183,1183,1183,0.53,650,11.95,4.24,3.84,-118.35,1.88,-2.09,5.3,2.9,4.2,-19.9
202415,1183,1183,1183,1183,0.55,652,11.93,4.34,4.05,-119.41,-0.07,-1.61,8.9,0.2,-2.4,-23.6
202415,1183,1183,1183,1183,0.52,649,11.96,4.39,3.88,-120.52,-3.75,2.12,12.91,3.1,-0.3,-23.0
202415,1183,1183,1183,1183,0.55,652,11.94,4.23,4.02,-121.68,-3.5,0.33,5.42,1.3,-0.4,-23.2
202415,1183,1183,1183,1183,0.58,655,11.95,4.33,3.8,-122.85,-15.44,-4.91,18.66,3.4,9.2,-24.9
202415,1183,1183,1183,1183,0.58,656,11.94,4.49,4.24,-124.09,-12.72,0.5,7.89,5.6,1.8,-25.5
202416,1183,1183,1183,1183,0.58,656,11.93,4.78,4.77,-125.33,7.63,0.3,7.22,3.7,9.6,-24.5
202416,1183,1183,1183,1183,0.59,657,11.95,4.86,5.05,-126.5,9.81,-0.2,-4.26,2.9,17.9,-24.5
202416,1183,1183,1183,1183,0.61,659,11.93,4.81,5.03,-127.68,-8.98,5.91,12.57,4.4,5.2,-23.9
202416,1183,1183,1183,1183,0.58,656,11.93,5.01,5.28,-128.8,-7.95,-3.65,16.66,3.7,-12.7,-23.4
202416,1183,1183,1183,1183,0.63,661,11.93,5.17,5.63,-130.05,-3.68,-1.02,10.36,5.2,0.7,-26.9
202416,1183,1183,1183,1183,0.6,658,11.95,5.16,6.05,-131.26,4.7,3.36,6.9,2.6,9.2,-23.9
202416,1183,1183,1183,1183,0.59,657,11.94,5.38,5.99,-132.4,-0.83,-5.78,4.61,1.5,7.3,-24.9
202416,1183,1183,1183,1183,0.61,659,11.95,5.47,6.47,-133.51,3.9,4.27,4.1,4.3,-13.7,-21.9
202416,1183,1183,1183,1183,0.56,653,11.94,5.37,6.37,-134.56,6.6,0.93,4.1,3.4,18.0,-20.4
202416,1183,1183,1183,1183,0.63,661,11.94,5.47,6.39,-135.5,13.44,-0.1,6.3,3.6,14.0,-18.5
202416,1183,1183,1183,1183,0.6,658,11.93,5.46,6.17,-136.51,-6.06,-0.5,14.65,3.4,9.0,-21.4
202416,1183,1183,1183,1183,0.61,659,11.94,5.77,6.49,-137.49,-11.46,2.3,19.6,2.9,-24.8,-20.0
202416,1183,1183,1183,1183,0.59,657,11.94,6.0,6.76,-138.44,-2.23,-1.68,10.41,1.9,1.5,-19.4
202416,1183,1183,1183,1183,0.61,659,11.93,5.58,6.76,-139.35,11.87,0.49,-3.23,1.0,18.9,-17.7
202416,1183,1183,1183,1183,0.62,660,11.96,5.55,6.69,-140.17,6.63,2.35,4.89,1.5,5.3,-15.9
202416,1183,1183,1183,1183,0.62,660,11.93,5.45,6.69,-140.88,-2.47,-0.82,7.02,3.4,0.9,-13.4
202416,1183,1183,1183,1183,0.65,663,11.93,5.81,7.17,-141.49,-1.4,2.31,1.1,1.6,17.9,-13.2
202416,1183,1183,1183,1183,0.58,656,11.93,5.85,7.16,-142.17,8.13,-2.27,2.74,0.4,13.4,-17.0
202416,1183,1183,1183,1183,0.63,661,11.93,5.2,6.66,-143.01,-17.87,0.97,19.6,-0.2,-15.0,-15.0
202416,1183,1183,1183,1183,0.65,663,11.94,4.61,6.42,-143.93,-11.54,-0.21,12.61,0.2,-23.0,-18.7
202417,1183,1183,1183,1183,0.63,661,11.94,4.7,6.35,-144.74,8.05,1.12,1.43,-1.8,1.0,-17.7
202417,1183,1183,1183,1183,0.64,662,11.93,4.71,6.01,-145.55,2.19,-2.43,8.67,-1.8,1.1,-18.2
202417,1183,1183,1183,1183,0.65,663,11.92,4.06,5.22,-146.53,-4.79,-5.24,19.51,-3.7,-0.4,-20.0
202417,1183,1183,1183,1183,0.65,663,11.94,3.54,4.58,-147.5,-11.57,-1.73,15.42,-1.5,-18.4,-18.5
202417,1183,1183,1183,1183,0.65,663,11.93,2.94,4.18,-148.49,-1.62,3.1,-1.04,0.1,-10.8,-21.7
202417,1183,1183,1183,1183,0.65,663,11.93,2.97,3.95,-149.58,-5.08,-2.11,6.94,1.4,-10.6,-22.3
202417,1183,1183,1183,1183,0.65,663,11.93,3.05,4.17,-150.59,8.54,2.32,5.96,1.8,-0.7,-19.0
202417,1183,1183,1183,1183,0.62,660,11.93,2.94,3.43,-151.55,1.45,-7.51,12.49,-0.5,-0.1,-19.8
202417,1183,1183,1183,1183,0.65,663,11.95,2.35,3.29,-152.5,8.0,1.19,8.38,0.4,7.8,-18.7
202417,1183,1183,1183,1183,0.65,663,11.94,2.17,3.15,-153.31,5.6,1.13,6.65,-1.5,8.0,-16.1
202417,1183,1183,1183,1183,0.65,663,11.93,2.0,3.32,-154.09,4.53,2.16,5.83,-0.3,5.1,-16.3
202417,1183,1183,1183,1183,0.66,664,11.94,1.93,3.36,-154.88,0.02,-0.84,10.72,0.0,-0.9,-16.6
202417,1183,1183,1183,1183,0.64,662,11.93,1.65,3.32,-155.64,-4.7,-2.67,7.17,-2.0,6.2,-15.1
202417,1183,1183,1183,1183,0.65,663,11.93,1.56,3.64,-156.48,6.51,-5.6,12.47,1.6,12.5,-18.3
202417,1183,1183,1183,1183,0.61,659,11.94,1.48,3.78,-157.3,-1.4,-1.09,7.87,2.4,-4.5,-16.4
202417,1183,1183,1183,1183,0.69,667,11.92,1.23,3.69,-158.11,6.5,2.11,-2.54,3.7,18.6,-15.6
202417,1183,1183,1183,1183,0.67,665,11.93,1.18,4.0,-158.84,9.59,-2.28,-4.2,2.8,12.3,-15.0
202417,1183,1183,1183,1183,0.65,663,11.93,1.17,3.74,-159.54,-5.27,1.14,4.86,6.2,0.2,-15.1
202417,1183,1183,1183,1183,0.63,661,11.93,1.49,4.14,-160.2,9.2,1.73,1.67,3.4,6.0,-14.4
202417,1183,1183,1183,1183,0.65,663,11.94,1.99,4.27,-160.93,7.88,-5.17,7.76,2.6,19.5,-16.4
202418,1183,1183,1183,1183,0.64,662,11.92,2.19,4.01,-161.69,-7.02,-3.34,11.97,5.1,-1.8,-16.5
202418,1183,1183,1183,1183,0.65,663,11.93,2.36,4.18,-162.52,4.38,3.39,1.76,3.2,-4.8,-17.2
202418,1183,1183,1183,1183,0.65,663,11.94,2.68,4.23,-163.32,-4.93,1.35,16.54,3.6,-3.1,-17.6
202418,1183,1183,1183,1183,0.64,662,11.94,3.0,4.47,-164.08,-2.77,-0.82,14.51,4.2,-11.4,-14.4
