time,pwm1,pwm2,pwm3,pwm4,depth,press,voltage,roll,pitch,yaw,a_x,a_y,a_z,w_row,w_pitch,w_yaw
145050,1100,1100,1100,1100,0.04,596,12.14,6.5,1.56,-155.18,-0.26,0.98,8.48,-0.6,0.4,-0.7
145050,1198,1198,1198,1198,0.09,601,12.11,6.47,1.59,-155.22,-0.23,0.97,8.53,-0.6,0.3,-0.7
145050,1198,1198,1198,1198,0.09,601,12.11,6.42,1.61,-155.25,-1.22,1.08,9.05,-1.2,-1.0,-0.9
145050,1198,1198,1198,1198,0.04,596,12.06,6.26,1.56,-155.37,-0.47,2.48,8.35,-6.5,-4.8,-3.1
145050,1198,1198,1198,1198,0.14,606,11.99,5.63,1.58,-155.64,9.87,2.93,10.14,-17.5,-9.5,-6.2
145050,1198,1198,1198,1198,0.08,600,11.98,4.61,0.17,-156.15,0.81,-0.0,-0.29,-29.4,-10.4,-10.1
145050,1198,1198,1198,1198,0.11,603,11.98,3.58,-0.91,-156.75,15.99,0.74,2.69,-18.4,-9.1,-10.9
145050,1198,1198,1198,1198,0.09,601,11.99,2.79,-0.05,-157.3,5.64,1.37,12.78,-6.8,-5.1,-11.2
145050,1198,1198,1198,1198,0.13,605,11.98,2.34,-0.5,-157.84,-8.4,0.38,14.32,-4.2,-4.7,-9.5
145051,1198,1198,1198,1198,0.14,606,11.97,2.19,-0.94,-158.26,0.78,2.61,6.76,-1.3,-2.0,-8.9
145051,1198,1198,1198,1198,0.14,606,11.98,2.04,-1.57,-158.75,-0.42,0.2,10.39,-3.5,1.7,-10.4
145051,1198,1198,1198,1198,0.2,613,11.97,2.19,-1.19,-159.24,6.8,1.11,2.02,-1.3,6.0,-9.4
145051,1198,1198,1198,1198,0.17,609,11.97,2.13,-0.79,-159.72,2.85,-0.91,0.65,-0.4,1.6,-9.8
145051,1198,1198,1198,1198,0.17,609,11.96,1.76,-0.37,-160.19,-7.6,-0.18,12.85,1.0,2.9,-10.0
145051,1198,1198,1198,1198,0.22,615,11.98,1.81,-0.42,-160.75,-11.67,-0.65,14.35,3.1,5.8,-12.0
145051,1198,1198,1198,1198,0.18,610,11.97,2.2,-0.68,-161.41,-0.71,-5.62,6.44,4.6,6.0,-15.0
145051,1198,1198,1198,1198,0.15,607,11.95,2.31,-1.03,-162.14,2.57,-2.2,4.02,4.2,2.7,-16.1
145051,1198,1198,1198,1198,0.25,618,11.96,2.43,-0.63,-163.0,16.3,4.25,-0.13,3.8,-1.7,-18.7
145051,1198,1198,1198,1198,0.21,614,11.97,2.51,-0.01,-163.97,1.13,1.94,6.06,5.3,-3.8,-19.3
145051,1198,1198,1198,1198,0.24,617,11.98,2.92,-0.27,-165.05,1.95,-0.45,11.88,3.3,0.2,-23.1
145051,1198,1198,1198,1198,0.22,615,11.98,2.95,0.07,-166.21,1.15,-2.33,10.81,2.9,-0.7,-21.4
145051,1198,1198,1198,1198,0.28,621,11.97,2.93,0.05,-167.38,-0.43,-2.94,11.83,3.2,-2.7,-22.2
145051,1198,1198,1198,1198,0.25,618,11.98,2.87,0.17,-168.55,0.68,2.26,4.29,3.0,-1.3,-24.4
145051,1198,1198,1198,1198,0.25,618,11.98,3.12,-0.09,-169.78,7.46,-1.29,2.77,3.8,0.6,-24.8
145051,1198,1198,1198,1198,0.33,626,11.97,3.3,-0.05,-170.9,-2.99,2.6,13.31,3.6,0.2,-22.7
145051,1198,1198,1198,1198,0.27,620,11.98,3.41,0.08,-172.03,7.22,-2.09,5.57,2.8,3.5,-21.6
145051,1198,1198,1198,1198,0.3,623,11.99,3.57,-0.1,-173.13,1.96,3.97,1.55,1.4,-0.5,-22.3
145051,1198,1198,1198,1198,0.25,618,11.98,3.62,0.66,-174.34,-13.22,-0.58,18.51,2.3,-1.3,-24.2
145051,1198,1198,1198,1198,0.34,627,11.98,3.45,0.88,-175.59,-3.46,-1.29,5.37,2.0,-2.2,-26.0
145052,1198,1198,1198,1198,0.31,624,11.97,3.4,0.97,-176.9,5.28,3.89,3.21,1.6,-0.7,-25.0
145052,1198,1198,1198,1198,0.34,627,11.97,3.72,0.82,-178.21,11.34,-1.48,3.42,4.0,-1.5,-26.1
145052,1198,1198,1198,1198,0.35,628,11.97,4.04,0.17,-179.6,0.55,1.14,7.96,2.3,1.4,-28.2
145052,1198,1198,1198,1198,0.33,626,11.96,3.99,0.3,179.05,3.91,6.64,4.09,3.3,-4.0,-28.1
145052,1198,1198,1198,1198,0.34,627,11.97,4.36,-0.49,177.61,2.51,2.83,9.44,2.3,-0.5,-29.6
145052,1198,1198,1198,1198,0.35,629,11.98,4.41,-0.6,176.2,-1.59,2.52,5.9,1.6,1.3,-28.3
145052,1198,1198,1198,1198,0.33,626,11.97,4.61,-0.86,174.81,-1.35,-1.62,11.14,1.4,1.2,-27.4
145052,1198,1198,1198,1198,0.38,632,11.99,4.58,-0.61,173.43,-2.08,-0.14,10.33,2.7,-0.4,-27.9
145052,1198,1198,1198,1198,0.36,630,11.98,4.71,-1.08,172.02,-1.03,2.23,9.58,2.0,3.8,-28.3
145052,1198,1198,1198,1198,0.34,627,11.97,4.63,-0.51,170.7,-9.59,-2.89,11.78,3.4,-1.3,-26.7
145052,1198,1198,1198,1198,0.38,632,11.97,4.95,-0.57,169.36,2.37,0.03,10.65,5.2,3.5,-27.5
145052,1198,1198,1198,1198,0.36,630,11.97,5.22,-0.33,167.94,-1.2,-2.25,10.0,5.7,3.5,-28.4
145052,1198,1198,1198,1198,0.38,632,11.98,5.71,0.04,166.47,4.67,5.2,8.86,5.4,2.0,-31.3
145052,1198,1198,1198,1198,0.39,633,11.98,5.81,0.21,165.0,1.75,0.74,3.0,6.8,-0.6,-30.5
145052,1198,1198,1198,1198,0.35,629,11.97,5.58,0.94,163.49,-7.7,0.15,12.57,5.9,1.3,-30.9
145052,1198,1198,1198,1198,0.34,627,11.98,5.95,0.82,161.97,-8.94,0.29,12.31,3.8,0.1,-31.4
145052,1198,1198,1198,1198,0.38,632,11.97,6.07,0.78,160.38,4.9,0.87,9.59,4.7,-3.8,-33.2
145052,1198,1198,1198,1198,0.37,631,11.99,6.21,0.71,158.69,14.74,-0.98,-2.32,4.4,-2.0,-32.7
145052,1198,1198,1198,1198,0.38,632,11.97,6.34,0.41,157.07,-1.08,4.51,7.81,5.6,1.0,-32.3
145052,1198,1198,1198,1198,0.42,636,11.97,6.6,1.04,155.32,-1.98,-2.19,10.49,4.1,-2.0,-35.5
145053,1198,1198,1198,1198,0.41,635,11.99,6.76,0.29,153.54,-3.6,-0.19,14.05,5.4,-3.5,-35.6
145053,1198,1198,1198,1198,0.39,633,11.96,6.6,0.95,151.66,-5.09,-3.91,9.81,0.7,-0.5,-38.1
145053,1198,1198,1198,1198,0.38,632,11.98,6.61,0.57,149.79,-0.5,1.68,10.42,2.6,0.9,-37.7
145053,1198,1198,1198,1198,0.37,631,11.96,6.89,0.37,147.78,-0.32,0.5,9.68,3.0,-2.6,-41.2
145053,1198,1198,1198,1198,0.35,629,11.98,7.0,0.9,145.77,10.61,-5.4,5.01,5.2,1.2,-41.4
145053,1198,1198,1198,1198,0.36,630,11.96,6.8,0.97,143.67,3.49,2.67,-0.11,3.7,3.8,-43.2
145053,1198,1198,1198,1198,0.41,635,11.96,7.02,1.16,141.68,10.4,-1.41,3.78,1.5,0.5,-40.1
145053,1198,1198,1198,1198,0.42,636,11.97,6.74,1.67,139.72,9.89,4.25,5.09,0.1,0.2,-38.1
