time,pwm1,pwm2,pwm3,pwm4,depth,press,voltage,roll,pitch,yaw,a_x,a_y,a_z,w_row,w_pitch,w_yaw
200623,1100,1100,1100,1100,0.01,612,12.24,6.44,1.02,133.19,-0.09,1.0,8.72,1.8,-2.6,0.3
200623,1200,1200,1200,1200,0.0,611,12.23,6.55,0.89,133.19,-0.16,1.07,8.58,2.0,-2.5,0.4
200623,1200,1200,1200,1200,0.03,614,12.22,6.66,0.76,133.19,0.1,1.23,8.62,1.5,-3.2,0.4
200623,1200,1200,1200,1200,0.04,615,12.14,6.75,0.37,133.11,6.8,-1.46,7.35,1.4,-10.3,-2.2
200623,1200,1200,1200,1200,0.0,611,12.11,6.93,-0.89,132.85,-2.8,2.21,10.85,-1.2,-17.5,-6.5
200624,1200,1200,1200,1200,0.03,614,12.1,6.88,-2.08,132.28,0.01,0.62,13.35,-2.5,-32.5,-10.4
200624,1200,1200,1200,1200,-0.01,610,12.09,6.57,-4.77,131.47,-13.41,-2.13,18.13,-4.9,-36.8,-14.3
200624,1200,1200,1200,1200,0.04,615,12.09,6.22,-5.45,130.55,-5.21,-1.26,12.22,-8.9,-16.5,-17.0
200624,1200,1200,1200,1200,0.07,618,12.08,5.85,-6.1,129.68,12.88,2.08,-2.35,-11.7,-4.9,-15.7
200624,1200,1200,1200,1200,0.07,618,12.11,5.71,-6.45,128.88,-1.87,-1.83,3.12,-9.7,-3.8,-17.4
200624,1200,1200,1200,1200,0.07,618,12.08,5.07,-6.2,128.09,-0.22,0.36,15.08,-10.8,6.8,-17.9
200624,1200,1200,1200,1200,0.1,622,12.07,4.69,-5.8,127.15,0.94,0.02,11.41,-9.7,10.7,-20.7
200624,1200,1200,1200,1200,0.13,625,12.09,4.31,-5.95,126.06,-8.51,-0.59,15.88,-8.0,-3.7,-22.0
200624,1200,1200,1200,1200,0.14,626,12.08,3.76,-6.16,125.01,-16.23,7.74,19.6,-9.0,-4.2,-21.3
200624,1200,1200,1200,1200,0.12,624,12.07,3.59,-6.24,123.82,11.21,-4.79,13.35,-8.4,12.1,-26.4
200624,1200,1200,1200,1200,0.15,627,12.09,3.17,-6.67,122.56,14.83,-4.99,1.46,-9.2,0.7,-27.3
200624,1200,1200,1200,1200,0.12,624,12.07,2.75,-6.7,121.22,2.83,-1.31,16.37,-8.9,8.4,-26.2
200624,1200,1200,1200,1200,0.14,626,12.07,2.5,-6.16,119.9,7.14,2.92,14.52,-7.6,4.9,-24.9
200624,1200,1200,1200,1200,0.15,627,12.08,2.18,-5.95,118.51,15.04,3.04,-1.11,-7.7,1.7,-28.5
200624,1200,1200,1200,1200,0.18,630,12.1,1.79,-6.03,117.1,0.17,-0.42,5.25,-4.9,-4.2,-28.1
200624,1200,1200,1200,1200,0.17,629,12.09,1.28,-5.97,115.67,-10.17,-4.68,13.7,-5.9,-5.6,-29.0
200624,1200,1200,1200,1200,0.17,629,12.09,1.18,-5.29,114.22,-3.55,0.77,16.35,-3.9,2.3,-29.4
200624,1200,1200,1200,1200,0.16,628,12.07,0.89,-5.24,112.79,-0.11,-4.45,14.59,1.9,-1.8,-28.5
200624,1200,1200,1200,1200,0.21,633,12.08,0.66,-5.09,111.41,-13.62,-0.17,13.12,1.3,-1.6,-27.3
200624,1200,1200,1200,1200,0.25,637,12.09,0.93,-4.65,110.04,-2.92,-2.07,7.95,2.1,3.1,-25.6
200625,1200,1200,1200,1200,0.21,633,12.09,1.31,-4.63,108.72,9.05,-4.22,5.47,5.5,-2.0,-25.9
200625,1200,1200,1200,1200,0.21,633,12.09,1.46,-4.88,107.47,-0.89,2.78,7.76,2.5,4.3,-26.9
