time,pwm1,pwm2,pwm3,pwm4,depth,press,voltage,roll,pitch,yaw,a_x,a_y,a_z,w_row,w_pitch,w_yaw
195527,1100,1100,1100,1100,0.06,613,12.14,6.42,1.59,-127.69,-0.27,1.11,8.7,-1.8,0.9,-1.2
195527,1100,1100,1100,1100,0.04,611,12.12,6.34,1.65,-127.74,-0.3,1.04,8.52,-1.6,1.0,-1.0
195527,1100,1100,1100,1100,0.02,609,12.13,6.27,1.7,-127.78,-0.17,0.95,8.67,-1.3,1.0,-1.0
195527,1100,1100,1100,1100,0.0,607,12.1,6.22,1.75,-127.82,-0.21,0.9,8.69,-0.7,0.8,-1.0
195527,1201,1201,1201,1201,0.08,616,12.06,6.19,1.78,-127.87,-0.27,0.99,8.61,-0.3,0.5,-1.0
195527,1201,1201,1201,1201,0.1,618,11.99,6.17,1.78,-127.91,-1.0,0.99,9.15,0.4,0.2,-0.5
195527,1201,1201,1201,1201,0.01,608,11.99,6.19,1.8,-127.98,3.78,2.11,5.67,3.5,-1.8,-2.0
195527,1201,1201,1201,1201,0.08,616,11.99,6.34,1.86,-128.1,2.77,2.28,4.28,7.6,-5.1,-2.9
195527,1201,1201,1201,1201,0.08,615,11.99,6.84,1.45,-128.29,7.54,-0.71,1.95,6.1,-12.5,-2.7
195527,1201,1201,1201,1201,0.08,615,11.99,6.94,0.64,-128.59,14.33,-2.08,3.84,-2.5,-8.7,-6.0
195527,1201,1201,1201,1201,0.11,619,11.99,6.62,-0.91,-129.08,-6.71,4.78,2.39,-4.3,-6.8,-9.5
195527,1201,1201,1201,1201,0.1,618,11.99,6.21,-1.4,-129.67,8.73,-0.99,1.77,-9.3,-7.9,-9.4
195527,1201,1201,1201,1201,0.14,622,11.96,6.18,-3.65,-130.18,2.95,1.33,5.54,-9.8,-5.5,-9.4
195527,1201,1201,1201,1201,0.18,626,11.98,5.77,-3.67,-130.79,5.94,1.35,6.9,-8.7,1.2,-14.6
195527,1201,1201,1201,1201,0.16,624,11.98,5.45,-4.28,-131.47,17.37,1.81,0.96,-9.9,2.2,-13.7
195527,1201,1201,1201,1201,0.19,627,11.99,5.23,-5.78,-132.19,-2.25,-3.49,6.6,-8.7,4.8,-13.8
195527,1201,1201,1201,1201,0.13,621,11.99,5.04,-5.94,-133.0,0.31,4.74,3.24,-8.5,-1.2,-17.0
195527,1201,1201,1201,1201,0.17,625,11.97,4.91,-6.38,-133.93,-1.83,-1.09,8.49,-9.6,2.6,-19.3
195527,1201,1201,1201,1201,0.18,626,11.98,4.57,-7.26,-135.03,4.74,10.11,5.45,-8.1,2.3,-24.1
195527,1201,1201,1201,1201,0.17,625,11.98,4.99,-6.45,-136.24,4.81,-6.65,7.73,-6.3,-3.2,-23.8
195528,1201,1201,1201,1201,0.22,630,11.98,4.69,-6.03,-137.42,1.37,-0.11,8.74,-4.2,4.4,-26.4
195528,1201,1201,1201,1201,0.19,627,11.99,4.81,-5.67,-138.66,-5.7,-3.04,9.33,-1.5,-3.6,-26.2
195528,1201,1201,1201,1201,0.23,631,11.98,5.15,-6.19,-139.98,-6.17,1.17,14.0,-1.5,2.6,-27.6
195528,1201,1201,1201,1201,0.25,634,12.0,5.11,-4.77,-141.31,-8.42,5.06,10.82,-0.6,4.2,-27.3
195528,1201,1201,1201,1201,0.23,631,11.98,5.25,-4.23,-142.68,-5.11,4.15,14.74,1.2,-4.0,-27.7
195528,1201,1201,1201,1201,0.23,631,11.98,5.09,-4.16,-144.05,14.37,-1.42,1.07,-0.2,-1.5,-29.8
195528,1201,1201,1201,1201,0.23,631,11.97,5.0,-5.64,-145.5,-3.46,3.87,6.29,0.7,-10.7,-28.6
195528,1201,1201,1201,1201,0.27,636,11.99,5.0,-5.96,-146.95,-2.37,-2.78,11.58,-0.1,-9.0,-29.4
195528,1201,1201,1201,1201,0.25,634,12.0,4.93,-6.23,-148.49,7.45,-0.8,11.42,0.7,-8.0,-30.6
195528,1201,1201,1201,1201,0.24,632,11.99,4.72,-6.64,-150.1,6.49,0.19,6.04,0.4,-4.9,-32.2
195528,1201,1201,1201,1201,0.27,636,11.99,4.71,-6.83,-151.7,1.75,3.74,3.81,1.4,-7.4,-32.5
195528,1201,1201,1201,1201,0.26,635,11.99,5.32,-5.67,-153.46,-9.61,2.34,16.69,4.2,-6.7,-33.9
195528,1201,1201,1201,1201,0.25,634,11.98,5.39,-4.71,-155.14,10.47,-2.82,1.5,5.2,3.7,-33.6
195528,1201,1201,1201,1201,0.3,639,11.97,5.56,-4.43,-156.75,1.54,-6.87,12.02,3.7,0.0,-33.0
195528,1201,1201,1201,1201,0.26,635,11.99,5.69,-4.41,-158.37,4.09,4.39,5.68,6.1,-0.3,-32.6
195528,1201,1201,1201,1201,0.29,638,11.98,5.66,-3.51,-159.97,-2.56,1.67,13.39,5.2,7.5,-32.1
195528,1201,1201,1201,1201,0.26,635,11.98,5.95,-2.97,-161.58,-0.79,1.03,12.28,6.6,11.6,-32.5
195528,1201,1201,1201,1201,0.29,638,11.99,6.02,-1.8,-163.16,-4.5,-8.16,15.87,5.6,9.5,-32.3
195528,1201,1201,1201,1201,0.28,637,11.97,5.9,-0.67,-164.72,5.74,-4.51,6.63,5.7,12.6,-32.2
195528,1201,1201,1201,1201,0.29,638,12.0,5.86,0.66,-166.28,0.52,1.38,13.9,5.1,8.9,-31.8
195529,1201,1201,1201,1201,0.3,639,11.98,5.55,1.77,-167.86,-3.18,0.97,12.48,2.3,16.1,-34.4
195529,1201,1201,1201,1201,0.31,640,11.99,5.7,1.69,-169.52,4.36,-3.47,8.58,2.2,4.7,-34.9
195529,1201,1201,1201,1201,0.3,639,11.98,5.51,1.59,-171.23,3.39,-0.25,7.29,3.9,5.0,-35.3
195529,1201,1201,1201,1201,0.33,642,11.99,5.55,2.12,-172.97,-10.55,6.09,12.62,2.9,10.6,-35.5
195529,1201,1201,1201,1201,0.3,639,11.99,5.17,4.02,-174.76,-0.21,3.26,16.63,1.0,6.2,-34.7
195529,1201,1201,1201,1201,0.33,642,11.99,4.73,4.82,-176.53,-4.43,-3.13,11.12,3.6,1.2,-35.0
195529,1201,1201,1201,1201,0.36,645,11.98,4.76,3.85,-178.29,-1.06,-1.05,12.43,2.7,1.6,-37.7
195529,1201,1201,1201,1201,0.36,645,11.99,4.64,5.18,179.97,1.62,-0.42,4.28,2.1,0.4,-34.9
195529,1201,1201,1201,1201,0.34,643,11.98,4.28,6.0,178.2,-0.94,3.81,12.15,4.2,-5.3,-35.2
195529,1201,1201,1201,1201,0.37,646,11.97,3.89,5.93,176.46,-2.8,1.1,9.42,0.6,-4.6,-33.3
195529,1201,1201,1201,1201,0.34,643,11.99,3.64,5.76,174.78,0.16,2.15,7.8,2.3,-2.7,-33.1
195529,1201,1201,1201,1201,0.35,644,11.98,3.74,4.4,173.14,5.52,1.17,1.87,0.5,-0.9,-31.0
195529,1201,1201,1201,1201,0.34,643,11.98,3.5,4.37,171.47,-1.83,-2.71,13.83,2.7,0.5,-32.0
195529,1201,1201,1201,1201,0.35,644,11.98,3.27,4.32,169.77,7.42,-3.64,6.36,1.0,4.9,-33.3
195529,1201,1201,1201,1201,0.38,647,11.98,3.15,4.23,168.11,-1.41,0.9,7.53,-0.1,4.2,-32.4
195529,1201,1201,1201,1201,0.37,646,11.99,3.06,3.61,166.48,-7.96,-3.48,12.32,-0.6,2.5,-35.0
195529,1201,1201,1201,1201,0.38,647,11.98,3.0,3.35,164.78,-5.83,0.02,16.53,2.1,3.6,-34.5
195529,1201,1201,1201,1201,0.42,652,11.98,2.92,4.05,163.05,2.9,-0.65,4.23,3.4,-0.6,-36.6
195529,1201,1201,1201,1201,0.41,650,11.99,2.33,4.67,161.29,4.41,4.23,6.93,0.7,0.2,-35.2
195529,1201,1201,1201,1201,0.41,650,11.97,2.33,4.34,159.65,1.29,-2.82,5.55,1.0,5.5,-33.0
195530,1201,1201,1201,1201,0.41,650,11.97,2.16,4.85,157.91,-5.02,-0.67,5.9,1.8,-2.4,-36.3
195530,1201,1201,1201,1201,0.43,653,11.96,1.81,5.21,156.06,-8.22,1.24,7.66,3.4,2.1,-36.4
195530,1201,1201,1201,1201,0.42,652,11.98,1.47,5.75,154.25,-4.23,2.68,7.4,0.2,0.9,-35.2
195530,1201,1201,1201,1201,0.42,651,11.97,1.41,5.8,152.6,-7.65,-1.28,11.38,-1.4,-1.0,-34.4
195530,1201,1201,1201,1201,0.39,648,11.99,1.25,3.96,150.86,10.21,1.66,3.09,-0.1,-2.3,-34.6
195530,1201,1201,1201,1201,0.43,653,11.98,1.28,3.26,149.1,-4.66,1.97,10.28,-0.7,-1.8,-34.1
195530,1201,1201,1201,1201,0.42,651,11.99,1.13,4.59,147.34,-2.6,1.93,8.57,2.9,-0.5,-36.5
195530,1201,1201,1201,1201,0.43,653,11.98,0.7,4.87,145.56,11.03,-3.68,5.92,2.9,4.1,-33.6
195530,1201,1201,1201,1201,0.44,654,11.98,0.81,4.37,143.9,-1.18,3.92,8.54,3.5,0.7,-32.0
195530,1201,1201,1201,1201,0.48,658,11.98,1.13,3.57,142.41,-2.56,-1.55,10.55,3.2,4.5,-29.0
195530,1201,1201,1201,1201,0.47,657,11.97,1.34,3.93,140.9,0.42,-1.94,7.62,2.3,-0.3,-30.0
195530,1201,1201,1201,1201,0.47,657,11.99,0.89,3.88,139.34,6.66,2.59,3.78,4.0,5.6,-29.4
195530,1201,1201,1201,1201,0.44,654,11.98,0.86,3.53,137.88,0.88,-1.06,7.35,5.2,-0.3,-27.6
195530,1201,1201,1201,1201,0.46,656,11.98,0.68,3.69,136.45,-7.25,0.84,12.22,3.8,0.3,-27.6
195530,1201,1201,1201,1201,0.47,657,11.98,0.66,4.07,135.1,4.77,-6.85,5.07,5.2,1.6,-27.9
195530,1201,1201,1201,1201,0.47,657,11.98,0.62,3.62,133.76,-4.57,2.13,6.73,3.5,3.7,-27.0
195530,1201,1201,1201,1201,0.43,653,11.97,0.85,3.7,132.49,-13.59,3.45,10.02,1.8,-4.2,-25.0
195530,1201,1201,1201,1201,0.48,658,11.98,0.52,4.41,131.18,-3.91,-5.65,17.43,0.4,-2.0,-25.1
195530,1201,1201,1201,1201,0.45,655,11.99,0.55,4.4,129.92,-4.11,-3.59,9.83,-0.1,-1.7,-26.1
195530,1201,1201,1201,1201,0.49,659,11.98,0.06,3.96,128.61,6.72,3.81,8.29,-1.0,-3.0,-24.7
195531,1201,1201,1201,1201,0.5,660,11.98,0.19,3.14,127.32,5.87,-2.19,13.95,0.2,1.3,-28.4
195531,1201,1201,1201,1201,0.5,660,11.97,-0.02,2.87,125.97,-0.87,1.53,3.78,-0.9,4.3,-27.5
195531,1201,1201,1201,1201,0.47,657,11.97,-0.5,3.34,124.64,-2.78,4.35,13.58,-0.5,2.0,-26.8
195531,1201,1201,1201,1201,0.51,661,11.98,-0.64,4.06,123.32,-9.65,-2.01,8.13,-0.3,5.0,-26.4
195531,1201,1201,1201,1201,0.55,665,11.98,-0.63,3.89,122.06,-4.7,-1.26,12.44,1.4,3.3,-25.6
195531,1201,1201,1201,1201,0.52,662,11.99,-0.34,3.64,120.85,1.04,3.11,11.24,2.0,2.4,-22.6
195531,1201,1201,1201,1201,0.52,662,11.98,-0.22,3.86,119.6,5.84,2.17,12.41,3.0,1.3,-24.4
195531,1201,1201,1201,1201,0.52,662,11.98,0.15,3.66,118.41,4.46,-0.16,9.88,4.5,3.5,-22.0
195531,1201,1201,1201,1201,0.54,664,11.97,0.18,4.63,117.21,-9.4,1.16,12.14,4.8,5.3,-24.0
195531,1201,1201,1201,1201,0.57,667,11.98,0.03,5.02,116.03,10.04,-6.19,7.6,7.3,6.4,-22.7
195531,1201,1201,1201,1201,0.52,662,11.95,-0.11,5.38,114.92,3.84,1.65,0.3,6.1,4.9,-21.2
195531,1201,1201,1201,1201,0.57,667,11.96,0.3,6.13,114.0,3.77,0.91,7.57,2.2,7.1,-19.9
195531,1201,1201,1201,1201,0.56,666,11.97,0.43,6.73,113.18,-5.11,-2.68,9.7,2.9,5.8,-15.6
195531,1201,1201,1201,1201,0.51,661,11.97,0.51,7.39,112.38,-5.01,-0.74,8.67,2.8,4.3,-16.3
195531,1201,1201,1201,1201,0.55,665,11.97,0.48,8.31,111.62,-0.35,3.4,12.55,3.1,1.7,-13.5
195531,1201,1201,1201,1201,0.56,666,11.98,0.49,7.06,111.0,-1.85,-5.79,8.97,4.0,-1.4,-11.7
195531,1201,1201,1201,1201,0.56,666,11.98,0.57,7.31,110.43,0.97,0.92,12.93,4.6,3.5,-11.0
195531,1201,1201,1201,1201,0.61,672,11.98,0.76,7.43,110.01,-3.65,1.31,10.53,2.8,2.0,-9.5
195531,1201,1201,1201,1201,0.55,665,11.95,0.81,7.17,109.56,-9.87,-3.42,13.22,-1.3,2.9,-10.7
195531,1201,1201,1201,1201,0.56,666,11.98,0.55,7.84,109.03,-7.68,-2.74,10.33,0.7,-1.6,-9.6
195532,1201,1201,1201,1201,0.58,668,11.97,0.39,7.0,108.6,1.23,2.26,11.47,0.2,3.5,-5.7
195532,1201,1201,1201,1201,0.51,661,11.97,0.4,7.5,108.2,8.54,2.43,5.08,1.8,6.8,-5.8
195532,1201,1201,1201,1201,0.53,663,11.97,0.31,7.3,107.86,8.11,-0.91,4.58,-0.6,-3.2,-6.9
195532,1201,1201,1201,1201,0.56,666,11.97,0.18,6.47,107.44,-5.13,1.32,4.97,-1.0,-4.4,-8.3
195532,1201,1201,1201,1201,0.58,669,11.98,0.23,5.85,107.06,-1.45,5.08,7.21,0.9,-0.1,-8.8
